MAMMAL,top incisor,bottom incisor,top cannine,bot cannine,top premol,botpremol,topmolar,botmolar,totals
BROWN RAT,2,3,1,1,3,3,3,3,19
MOLE,3,2,1,0,3,3,3,3,18
SILVER HAIR BAT,2,3,1,1,2,3,3,3,18
PIGHY BAT,2,3,1,1,2,2,3,3,17
HOUSE BAT,2,3,1,1,1,2,3,3,16
RED BAT,1,3,1,1,2,2,3,3,16
PIKA,2,1,0,0,2,2,3,3,13
RABBIT,2,1,0,0,3,2,3,3,14
BEAVER,1,1,0,0,2,1,3,3,11
GROUNDHOG,1,1,0,0,2,1,3,3,11
GRAY SQUIRREL,1,1,0,0,1,1,3,3,10
HOUSE MOUSE,1,1,0,0,0,0,3,3,8
PORCUPINE,1,1,0,0,1,1,3,3,10
WOLF,3,3,1,1,4,4,2,3,21
BEAR,3,3,1,1,4,4,2,3,21
RACCOON,3,3,1,1,4,4,3,2,21
MARTEN,3,3,1,1,4,4,1,2,19
WEASEL,3,3,1,1,3,3,1,2,17
WOLVERINE,3,3,1,1,4,4,1,2,19
BADGER,3,3,1,1,3,3,1,2,17
RIVER OTTER,3,3,1,1,4,3,1,2,18
SEA OTTER,3,2,1,1,3,3,1,2,16
JAGUAR,3,3,1,1,3,2,1,1,15
COUGAR,3,3,1,1,3,2,1,1,15
FUR SEAL,3,2,1,1,4,4,1,1,17
SEA LION,3,2,1,1,4,4,1,1,17
GREY SEAL,3,2,1,1,3,3,2,2,17
ELEPHANT SEAL,2,1,1,1,4,4,1,1,15
REINDEER,0,4,1,0,3,3,3,3,17
ELK,0,4,1,0,3,3,3,3,17
DEER,0,4,0,0,3,3,3,3,16
MOOSE,0,4,0,0,3,3,3,3,16
